# id x_refit sx_refit y_refit sy_refit sx_refit2 sy_refit2 covxy_refit corrxy_refit sigxp2 sigyp2 theta
298 -0.089810 0.026195 -0.057229 0.140638 0.000686 0.019779 0.000728 0.258680 0.019807 0.000658 87.819893
300 0.011439 0.015965 0.131785 0.054609 0.000255 0.002982 -0.000074 -0.198500 0.002984 0.000253 -88.443176
301 0.645499 0.028715 0.835045 0.151750 0.000825 0.023028 -0.002818 -0.255790 0.023380 0.000473 -82.878845
302 0.912789 0.027445 1.040415 0.176610 0.000753 0.031191 -0.000521 -0.184650 0.031200 0.000744 -89.019943
304 0.670099 0.111275 0.430685 0.398059 0.012382 0.158451 -0.021091 -0.348560 0.161435 0.009398 -81.946106
305 -0.259541 0.082605 -0.307123 0.236967 0.006824 0.056153 -0.012322 -0.309480 0.059060 0.003917 -76.727127
306 0.979890 0.083600 0.700295 0.233135 0.006989 0.054352 -0.004534 -0.631260 0.054782 0.006559 -84.580490
307 -0.275580 0.043400 0.173037 0.023389 0.001884 0.000547 -0.000004 -0.057234 0.001884 0.000547 -0.157270
308 -0.686880 0.121885 -0.342354 0.146793 0.014856 0.021548 -0.005984 -0.119830 0.025058 0.011346 -59.606663
309 0.150880 0.080485 -0.100466 0.235398 0.006478 0.055412 0.001019 0.057644 0.055433 0.006457 88.807915
311 -0.246221 0.086930 -0.494609 0.196993 0.007557 0.038806 -0.000266 -0.038493 0.038809 0.007555 -89.511597
312 -0.955001 0.081640 -0.787254 0.165174 0.006665 0.027282 -0.005422 -0.207160 0.028622 0.005326 -76.127525
